date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:49	93252/93252	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:43%20GMT	https://www.unikin.ac.cd/	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/index.html	(from )
19:02:50	6181/6181	---M--	200	added ('OK')	image/png	etag:%221825-64a867b18a6c8%22	https://www.unikin.ac.cd/assets/favicon.png	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/assets/favicon.png	(from https://www.unikin.ac.cd/)
19:02:52	68411/68411	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:47%20GMT	https://www.unikin.ac.cd/diplomes	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/diplomes.html	(from https://www.unikin.ac.cd/)
19:02:54	59945/59945	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:48%20GMT	https://www.unikin.ac.cd/inscriptions	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/inscriptions.html	(from https://www.unikin.ac.cd/)
19:02:55	73077/73077	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:49%20GMT	https://www.unikin.ac.cd/plan-strategique-de-lunikin-horizon-2023-2028	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/plan-strategique-de-lunikin-horizon-2023-2028.html	(from https://www.unikin.ac.cd/)
19:02:58	57984/57984	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:52%20GMT	https://www.unikin.ac.cd/in-memoriam	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/in-memoriam.html	(from https://www.unikin.ac.cd/)
19:02:58	68193/68193	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:53%20GMT	https://www.unikin.ac.cd/contact	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/contact.html	(from https://www.unikin.ac.cd/)
19:03:00	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Jul%202026%2018:02:56%20GMT	https://www.unikin.ac.cd/alumni-de-lunikin	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/alumni-de-lunikin	(from https://www.unikin.ac.cd/)
19:03:02	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jul%202026%2018:02:57%20GMT	https://www.unikin.ac.cd/alumni	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/alumni	(from https://www.unikin.ac.cd/)
19:03:03	80014/80014	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:55%20GMT	https://www.unikin.ac.cd/les-revues	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/les-revues.html	(from https://www.unikin.ac.cd/)
19:03:06	43416/43416	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:59%20GMT	https://www.unikin.ac.cd/alumni/	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/alumni/index.html	(from https://www.unikin.ac.cd/)
19:03:47	92829/92829	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:02:47%20GMT	https://www.unikin.ac.cd/en/	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/en/index.html	(from https://www.unikin.ac.cd/)
19:04:11	92828/92828	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:03:01%20GMT	https://www.unikin.ac.cd/en	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/en.html	(from https://www.unikin.ac.cd/)
19:04:14	9777/9777	---M--	200	added ('OK')	image/png	etag:%222631-646d54d663aa5%22	https://www.unikin.ac.cd/assets/unikin-logo.png	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/assets/unikin-logo.png	(from https://www.unikin.ac.cd/)
19:04:18	2103/2103	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jul%202026%2018:04:11%20GMT	https://www.unikin.ac.cd/universite/	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/universite/index.html	(from https://www.unikin.ac.cd/)
19:04:44	71242/71242	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:22%20GMT	https://www.unikin.ac.cd/presentation-de-lunikin	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/presentation-de-lunikin.html	(from https://www.unikin.ac.cd/)
19:04:51	73065/73065	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:45%20GMT	https://www.unikin.ac.cd/conseil-de-luniversite	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/conseil-de-luniversite.html	(from https://www.unikin.ac.cd/)
19:04:53	71078/71078	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:39%20GMT	https://www.unikin.ac.cd/les-organes-de-lunikin	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/les-organes-de-lunikin.html	(from https://www.unikin.ac.cd/)
19:04:53	66928/66928	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:48%20GMT	https://www.unikin.ac.cd/le-recteur	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/le-recteur.html	(from https://www.unikin.ac.cd/)
19:04:53	75762/75762	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:48%20GMT	https://www.unikin.ac.cd/comite-de-gestion	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/comite-de-gestion.html	(from https://www.unikin.ac.cd/)
19:04:56	73465/73465	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:51%20GMT	https://www.unikin.ac.cd/conseil-de-faculte	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/conseil-de-faculte.html	(from https://www.unikin.ac.cd/)
19:04:56	70929/70929	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:52%20GMT	https://www.unikin.ac.cd/conseil-de-departement	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/conseil-de-departement.html	(from https://www.unikin.ac.cd/)
19:04:59	59342/59342	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:55%20GMT	https://www.unikin.ac.cd/membre-comite-gestion	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/membre-comite-gestion.html	(from https://www.unikin.ac.cd/)
19:05:00	140636/140636	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:55%20GMT	https://www.unikin.ac.cd/textes-legaux-et-reglementaires-de-lesu	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/textes-legaux-et-reglementaires-de-lesu.html	(from https://www.unikin.ac.cd/)
19:05:07	86750/86750	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:59%20GMT	https://www.unikin.ac.cd/activites-du-recteur	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/activites-du-recteur.html	(from https://www.unikin.ac.cd/)
19:05:07	85483/85483	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:04:58%20GMT	https://www.unikin.ac.cd/actualites	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/actualites.html	(from https://www.unikin.ac.cd/)
19:05:15	84526/84526	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:10%20GMT	https://www.unikin.ac.cd/activites-du-sgac	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/activites-du-sgac.html	(from https://www.unikin.ac.cd/)
19:05:18	67840/67840	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:14%20GMT	https://www.unikin.ac.cd/activites-du-sgad	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/activites-du-sgad.html	(from https://www.unikin.ac.cd/)
19:05:18	84629/84629	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:13%20GMT	https://www.unikin.ac.cd/activites-du-sgr	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/activites-du-sgr.html	(from https://www.unikin.ac.cd/)
19:05:21	69813/69813	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:17%20GMT	https://www.unikin.ac.cd/activites-de-l-ab	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/activites-de-l-ab.html	(from https://www.unikin.ac.cd/)
19:05:22	96308/96308	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:18%20GMT	https://www.unikin.ac.cd/articles	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/articles.html	(from https://www.unikin.ac.cd/)
19:05:22	71354/71354	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:18%20GMT	https://www.unikin.ac.cd/centre-et-instituts-de-recherche	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/centre-et-instituts-de-recherche.html	(from https://www.unikin.ac.cd/)
19:05:23	95422/95422	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:19%20GMT	https://www.unikin.ac.cd/nos-theses	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/nos-theses.html	(from https://www.unikin.ac.cd/)
19:05:24	76114/76114	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:19%20GMT	https://www.unikin.ac.cd/facultes-et-entites	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/facultes-et-entites.html	(from https://www.unikin.ac.cd/)
19:05:24	68556/68556	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:20%20GMT	https://www.unikin.ac.cd/bibliotheques	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/bibliotheques.html	(from https://www.unikin.ac.cd/)
19:05:28	68998/68998	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:21%20GMT	https://www.unikin.ac.cd/comment-reussir-ses-etudes	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/comment-reussir-ses-etudes.html	(from https://www.unikin.ac.cd/)
19:05:33	643478/643478	---M--	200	added ('OK')	image/jpeg	etag:%229d196-64a85c07fa1f2%22	https://www.unikin.ac.cd/uploads/content/slider/20260211_053620_eab6733e.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260211_053620_eab6733e.jpg	(from https://www.unikin.ac.cd/)
19:05:33	47104/47104	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:28%20GMT	https://www.unikin.ac.cd/radio-campus-alma-mater	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/radio-campus-alma-mater.html	(from https://www.unikin.ac.cd/)
19:05:41	34435/34435	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:33%20GMT	https://www.unikin.ac.cd/musee/	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/musee/index.html	(from https://www.unikin.ac.cd/)
19:05:56	133727/133727	---M--	200	added ('OK')	image/jpeg	etag:%2220a5f-6579861614189%22	https://www.unikin.ac.cd/uploads/content/slider/20260727_141720_236e75f3.jpeg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260727_141720_236e75f3.jpg	(from https://www.unikin.ac.cd/)
19:05:59	74745/74745	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:53%20GMT	https://www.unikin.ac.cd/le-recteur-jean-marie-kayembe-ntumba-inaugure-un-centre-d-excellence-pour-la-formation-en-endoscopie-a-la-faculte-de-medecine	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/le-recteur-jean-marie-kayembe-ntumba-inaugure-un-centre-d-excellence-pour-la-formation-en-endoscopie-a-la-faculte-de-medecine.html	(from https://www.unikin.ac.cd/)
19:06:02	144646/144646	---M--	200	added ('OK')	image/jpeg	etag:%2223506-6571ed82a0a0b%22	https://www.unikin.ac.cd/uploads/content/slider/20260721_131727_1a732d0c.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260721_131727_1a732d0c.jpg	(from https://www.unikin.ac.cd/)
19:06:03	74060/74060	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:57%20GMT	https://www.unikin.ac.cd/esther-takubila-pemba-kusu-elevee-au-grade-de-docteur-avec-la-plus-grande-distinction	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/esther-takubila-pemba-kusu-elevee-au-grade-de-docteur-avec-la-plus-grande-distinction.html	(from https://www.unikin.ac.cd/)
19:06:07	73513/73513	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:05:33%20GMT	https://www.unikin.ac.cd/faculte-de-medecine-dentaire-de-l-unikin-une-soutenance-historique-pour-la-recherche-scientifique	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/faculte-de-medecine-dentaire-de-l-unikin-une-soutenance-historique-pour-la-recherche-scientifique.html	(from https://www.unikin.ac.cd/)
19:06:11	74122/74122	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:06%20GMT	https://www.unikin.ac.cd/unikin-grece-une-nouvelle-dynamique-de-cooperation-universitaire-se-dessine	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/unikin-grece-une-nouvelle-dynamique-de-cooperation-universitaire-se-dessine.html	(from https://www.unikin.ac.cd/)
19:06:16	75220/75220	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:09%20GMT	https://www.unikin.ac.cd/le-recteur-jean-marie-kayembe-ntumba-recoit-une-delegation-de-l-universite-jain-de-l-inde-pour-renforcer-la-cooperation-academique	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/le-recteur-jean-marie-kayembe-ntumba-recoit-une-delegation-de-l-universite-jain-de-l-inde-pour-renforcer-la-cooperation-academique.html	(from https://www.unikin.ac.cd/)
19:06:36	35768/35768	---M--	200	added ('OK')	image/png	etag:%228bb8-64a83dea5045a%22	https://www.unikin.ac.cd/assets/logo-oipr.png	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/assets/logo-oipr.png	(from https://www.unikin.ac.cd/)
19:06:38	702518/702518	---M--	200	added ('OK')	image/jpeg	etag:%22ab836-656d12aab79d0%22	https://www.unikin.ac.cd/uploads/content/slider/20260717_163704_0c0c114e.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260717_163704_0c0c114e.jpg	(from https://www.unikin.ac.cd/)
19:06:45	722990/722990	---M--	200	added ('OK')	image/jpeg	etag:%22b082e-656d295c669ca%22	https://www.unikin.ac.cd/uploads/content/slider/20260717_181836_c47affcb.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260717_181836_c47affcb.jpg	(from https://www.unikin.ac.cd/)
19:06:45	75925/75925	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:39%20GMT	https://www.unikin.ac.cd/oipr/	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/oipr/index.html	(from https://www.unikin.ac.cd/)
19:06:45	777165/777165	---M--	200	added ('OK')	image/jpeg	etag:%22bdbcd-656bae15d3143%22	https://www.unikin.ac.cd/uploads/content/slider/20260716_140145_e8b8f863.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260716_140145_e8b8f863.jpg	(from https://www.unikin.ac.cd/)
19:06:50	83472/83472	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:41%20GMT	https://www.unikin.ac.cd/echos-de-la-colline-inspiree-universite-de-kinshasa-n-4-avril-2026	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/echos-de-la-colline-inspiree-universite-de-kinshasa-n-4-avril-2026.html	(from https://www.unikin.ac.cd/)
19:06:54	88442/88442	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:48%20GMT	https://www.unikin.ac.cd/echos-de-la-colline-inspiree-ensemble-faisons-de-notre-universite-un-levier-de-transformation-par-la-recherche-l-innovation-et-le-developpement	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/echos-de-la-colline-inspiree-ensemble-faisons-de-notre-universite-un-levier-de-transformation-par-la-recherche-l-innovation-et-le-developpement.html	(from https://www.unikin.ac.cd/)
19:06:54	298791/298791	---M--	200	added ('OK')	image/jpeg	etag:%2248f27-6564e3bb93748%22	https://www.unikin.ac.cd/uploads/content/slider/20260711_042429_7647e857.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260711_042429_7647e857.jpg	(from https://www.unikin.ac.cd/)
19:06:59	280156/280156	---M--	200	added ('OK')	image/jpeg	etag:%224465c-6519c25fef3bd%22	https://www.unikin.ac.cd/uploads/content/slider/20260512_101554_f1fabff8.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260512_101554_f1fabff8.jpg	(from https://www.unikin.ac.cd/)
19:07:01	87366/87366	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:54%20GMT	https://www.unikin.ac.cd/revue-unikin-fevrier-2026-intitule-echos-de-la-colline-inspiree	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/revue-unikin-fevrier-2026-intitule-echos-de-la-colline-inspiree.html	(from https://www.unikin.ac.cd/)
19:07:05	88290/88290	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:06:59%20GMT	https://www.unikin.ac.cd/bulletin-institutionnel-echos-de-la-colline-inspiree-1er-numero	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/bulletin-institutionnel-echos-de-la-colline-inspiree-1er-numero.html	(from https://www.unikin.ac.cd/)
19:07:05	698771/698771	---M--	200	added ('OK')	image/png	etag:%22aa993-64d6f0b847530%22	https://www.unikin.ac.cd/uploads/content/slider/20260320_064630_eab7ac17.png	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260320_064630_eab7ac17.png	(from https://www.unikin.ac.cd/)
19:07:07	76653/76653	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:07:02%20GMT	https://www.unikin.ac.cd/une-centrale-a-effet-vortex-developpee-a-l-unikin-une-innovation-prometteuse-au-service-de-l-electrification-de-la-rdc	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/une-centrale-a-effet-vortex-developpee-a-l-unikin-une-innovation-prometteuse-au-service-de-l-electrification-de-la-rdc.html	(from https://www.unikin.ac.cd/)
19:07:07	86497/86497	---M--	200	added ('OK')	image/jpeg	etag:%22151e1-65583bc6b6c85%22	https://www.unikin.ac.cd/uploads/content/slider/20260701_024910_4ad1bb24.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260701_024910_4ad1bb24.jpg	(from https://www.unikin.ac.cd/)
19:07:07	297969/297969	---M--	200	added ('OK')	image/jpeg	etag:%2248bf1-64b90def64b96%22	https://www.unikin.ac.cd/uploads/content/slider/20260224_121728_e5ed6ece.jpeg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/uploads/content/slider/20260224_121728_e5ed6ece.jpg	(from https://www.unikin.ac.cd/)
19:07:11	70285/70285	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:07:06%20GMT	https://www.unikin.ac.cd/des-etudiants-de-la-faculte-des-sciences-pharmaceutiques-fabriquent-la-creme-perfecto-pouvant-soigner-les-acnes-les-vergetures-et-les-taches-cutanees	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/des-etudiants-de-la-faculte-des-sciences-pharmaceutiques-fabriquent-la-creme-perfecto-pouvant-soigner-les-acnes-les-vergetures-et-les-taches-cutanees.html	(from https://www.unikin.ac.cd/)
19:07:15	72984/72984	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:07:05%20GMT	https://www.unikin.ac.cd/madame-sandrine-ngalula-mubenga-brevetee-aux-etats-unis-lunikin-a-lhonneur	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/madame-sandrine-ngalula-mubenga-brevetee-aux-etats-unis-lunikin-a-lhonneur.html	(from https://www.unikin.ac.cd/)
19:07:15	76152/76152	---M--	200	added ('OK')	image/jpeg	etag:%2212978-6398ce0a76f77%22	https://www.unikin.ac.cd/wp-content/uploads/2025/07/Prof-sandrine-Ngalula.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/wp-content/uploads/2025/07/Prof-sandrine-Ngalula.jpg	(from https://www.unikin.ac.cd/)
19:07:30	215597/215597	---M--	200	added ('OK')	image/jpeg	etag:%2234a2d-6362f55023607%22	https://www.unikin.ac.cd/wp-content/uploads/2025/05/PERFECTO-UNIKIN.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/wp-content/uploads/2025/05/PERFECTO-UNIKIN.jpg	(from https://www.unikin.ac.cd/)
19:07:36	53297/53297	---M--	200	added ('OK')	image/jpeg	etag:%22d031-628458f1b135f%22	https://www.unikin.ac.cd/wp-content/uploads/2024/12/polytech_refrigetrateur-2.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/wp-content/uploads/2024/12/polytech_refrigetrateur-2.jpg	(from https://www.unikin.ac.cd/)
19:07:39	75750/75750	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:07:34%20GMT	https://www.unikin.ac.cd/le-projet-cerebro-de-lir-pierre-sedi-vient-de-remporter-le-1er-prix-a-la-premiere-edition-de-la-competition-africaine-des-jeunes-en-intelligence-artificielle-et-robotique	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/le-projet-cerebro-de-lir-pierre-sedi-vient-de-remporter-le-1er-prix-a-la-premiere-edition-de-la-competition-africaine-des-jeunes-en-intelligence-artificielle-et-robotique.html	(from https://www.unikin.ac.cd/)
19:07:42	82560/82560	---M--	200	added ('OK')	image/jpeg	etag:%2214280-624ba6cecb85a%22	https://www.unikin.ac.cd/wp-content/uploads/2024/10/Ir-Pierre-SEDI.jpg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/wp-content/uploads/2024/10/Ir-Pierre-SEDI.jpg	(from https://www.unikin.ac.cd/)
19:07:42	73290/73290	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:07:38%20GMT	https://www.unikin.ac.cd/unite-de-recherche-de-bioecologie-et-lutte-antivectorielle-biolav	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/unite-de-recherche-de-bioecologie-et-lutte-antivectorielle-biolav.html	(from https://www.unikin.ac.cd/)
19:07:45	78828/78828	---M--	200	added ('OK')	image/jpeg	etag:%22133ec-5fdcdb8a8e4c4%22	https://www.unikin.ac.cd/wp-content/uploads/2023/06/un-etudiant-de-polytech-1.jpeg	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/wp-content/uploads/2023/06/un-etudiant-de-polytech-1.jpg	(from https://www.unikin.ac.cd/)
19:07:45	76526/76526	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202026%2018:07:41%20GMT	https://www.unikin.ac.cd/un-etudiant-de-polytech-propose-une-solution-innovante-a-1-million-usd-pour-lelectrification-rurale	C:/Mes%20Sites%20Web/ISC-KINDU/www.unikin.ac.cd/un-etudiant-de-polytech-propose-une-solution-innovante-a-1-million-usd-pour-lelectrification-rurale.html	(from https://www.unikin.ac.cd/)
